name,model,rho,i,time,train_rocauc,test_rocauc,train_prauc,test_prauc,train_bacc,test_bacc,train_kappa,test_kappa
nasa_kc1,wekaRF,0.0,0,0.08568759999999997,0.9914128957026863,0.8276879982762335,0.9797599716081712,0.48425637235954017,0.9686473967317417,0.6272570566688214,0.958292013592249,0.3372737136656959
nasa_kc1,wekaRF,0.05,0,0.09516150000000323,0.9854677553723244,0.8145658263305322,0.9678894632593905,0.47645221838203705,0.9590226748408596,0.611872441284206,0.9443942394585553,0.3015273825425403
nasa_kc1,wekaRF,0.1,0,0.09373119999999346,0.9853060910976265,0.8062055591467356,0.9672683584764922,0.4332586405743867,0.9487492638963566,0.6181641887524241,0.9326709965118228,0.3131745759808121
nasa_kc1,wekaRF,0.2,0,0.08871649999999676,0.9722655430282914,0.8048696401637578,0.9479730993214491,0.438891484044288,0.9233698658883229,0.6111613876319759,0.8976464342594231,0.2828244065566581
nasa_kc1,wekaRF,0.25,0,0.09451130000000063,0.9671105933564406,0.7918767507002802,0.9385772286281864,0.4400591781147354,0.9195442800093963,0.6293471234647705,0.8924740777755965,0.329093799682035
nasa_kc1,wekaRF,0.33,0,0.10986030000000113,0.9682114986462812,0.7871148459383754,0.9445257867994225,0.4125531154980821,0.9197085523172479,0.6209437621202327,0.8901104468537846,0.2936130145943401
nasa_kc1,wekaRF,0.5,0,0.11693869999999862,0.9613382578457419,0.7998707175177764,0.9366289938819611,0.4145896074836817,0.9101038899328279,0.6377289377289377,0.8738366520892227,0.33182785651248503
nasa_kc1,wekaRF,0.66,0,0.10152940000000399,0.9532798833819243,0.7965524671407025,0.9175660837085522,0.40470669600885817,0.8701323772752345,0.6398190045248868,0.8078005326752637,0.3245635972590406
nasa_kc1,wekaRF,0.75,0,0.09468419999999611,0.9542581300813009,0.7650290885585003,0.9168003072610473,0.40509458572147694,0.8733323170731707,0.5810816634346045,0.8132647345968311,0.2030432202018022
nasa_kc1,wekaRF,0.9,0,0.12854070000000206,0.952831839349646,0.7444731738849386,0.9119653139278053,0.37021158881289407,0.8621900993297262,0.6195216548157725,0.7938287265111065,0.2621331695099476
nasa_kc1,wekaRF,1.0,0,0.1361157999999989,0.9399796398357145,0.7582848524024994,0.9030586094728825,0.35495092057171995,0.8446870502334398,0.6363068304244774,0.7563495471693027,0.296897733139344
nasa_kc1,wekaRF,1.25,0,0.11283059999999523,0.9370801623804728,0.6877181641887524,0.8984021790782222,0.28520514375346234,0.8295463590712613,0.5992458521870286,0.7276654073752131,0.22544173070334295
nasa_kc1,khiops,0.0,0,1.7219107999999892,0.8094487702385367,0.7794225382460677,0.43595473399403506,0.39676081265383994,0.6499572794248037,0.6279034690799397,0.3046830858088061,0.2675923004102241
nasa_kc1,khiopsRF,0.0,0,2.4736750000000143,0.8161241959665329,0.7839043309631545,0.4521993869579647,0.4111196191156231,0.6807456486810358,0.6467787114845939,0.3478798237097235,0.295416106509389
nasa_kc1,khiops,0.05,0,1.2268490000000156,0.7991332720980904,0.7748976513682396,0.4296607448866082,0.4000466765160299,0.6448191246208399,0.6272139625080801,0.3057515326615461,0.27709203548129724
nasa_kc1,khiopsRF,0.05,0,3.003023100000007,0.8020090143974026,0.7789915966386555,0.43449060223440183,0.39775915458016536,0.6673070555816636,0.6293040293040293,0.32900452221398147,0.2723147433861234
nasa_kc1,khiops,0.1,0,1.3245177000000012,0.7867296515349361,0.7821159232923939,0.4323618167999787,0.4061668682150083,0.6375976137440151,0.6244128420599009,0.29952402980665793,0.2673271910736609
nasa_kc1,khiopsRF,0.1,0,2.7224274999999807,0.7896164579972861,0.7817927170868348,0.44023440183816376,0.399392678331498,0.632150446782907,0.6202327084680026,0.2918126629870176,0.27707433338298826
nasa_kc1,khiops,0.2,0,1.3247944999999959,0.7485310669795302,0.7851971557853912,0.40289315426726524,0.3910536998739948,0.605113365382781,0.6118293471234648,0.24276862917882913,0.24696645253390437
nasa_kc1,khiopsRF,0.2,0,2.8175214000000324,0.7518898204849388,0.7876535229476406,0.41647554907415996,0.4095139525431809,0.5954854155935825,0.5866839043309632,0.24536591643023897,0.22413504930636807
nasa_kc1,khiops,0.25,0,1.2713449999999966,0.7527289985761747,0.7770523594053007,0.4141989924372758,0.3992115862492137,0.622252424578006,0.6230122818358113,0.2640787959514683,0.26254311335939295
nasa_kc1,khiopsRF,0.25,0,2.4920152999999914,0.7575781545881214,0.773389355742297,0.42492456265115525,0.39935090153001973,0.6158176448874123,0.631415643180349,0.260039933694997,0.2922516651492645
nasa_kc1,khiops,0.33,0,1.6065671999999722,0.7457977839965417,0.7852187028657617,0.4222643973644304,0.40603790198409095,0.6367654085045389,0.6195001077354019,0.28362645528858066,0.24051346545817254
nasa_kc1,khiopsRF,0.33,0,2.410738999999978,0.748370987190863,0.7853910795087267,0.4266189652574935,0.41141258434841477,0.6622232839624144,0.6467571644042233,0.31655905958402286,0.2729094041751813
nasa_kc1,khiops,0.5,0,1.3700569000000087,0.7423464869651611,0.7805860805860806,0.43810570385608016,0.38741100624375685,0.6131795503142616,0.613919413919414,0.25552177379440155,0.2431363531846401
nasa_kc1,khiopsRF,0.5,0,2.924386599999991,0.745919998272101,0.7876750700280112,0.4507743241393612,0.41510017555104634,0.6121816885893864,0.6279250161603103,0.27176617403520886,0.29267931969435546
nasa_kc1,khiops,0.66,0,1.435867700000017,0.6785970372705067,0.784593837535014,0.40382745982537427,0.4014526765625578,0.5814878654164368,0.6286145227321698,0.19342590849951302,0.282075516279949
