name,model,rho,i,time,train_rocauc,test_rocauc,train_prauc,test_prauc,train_bacc,test_bacc,train_kappa,test_kappa
phishing_full,wekaRF,0.0,0,0.9508325000000468,0.9996959596204531,0.9955577844460286,0.999623228054056,0.9955252315120658,0.9893994674008403,0.9748416750940831,0.9795919446783117,0.950474374800892
phishing_full,wekaRF,0.05,0,1.5923702999999705,0.9979957002477334,0.9936077355393822,0.9976538576365821,0.9933334298099068,0.9743325309997535,0.9683229993865946,0.9502910353286149,0.937621408567576
phishing_full,wekaRF,0.1,0,1.6938855999999305,0.9950927105226386,0.9895862000364727,0.9943291882672419,0.9888157137700322,0.9589483534703132,0.9566181468525672,0.9198755158431063,0.9138066748671023
phishing_full,wekaRF,0.2,0,1.775448200000028,0.9891935766820347,0.9825664384356503,0.9879698272661478,0.9794436976915143,0.9381991192668538,0.9378744674149107,0.8793851483731083,0.8770262563474216
phishing_full,wekaRF,0.25,0,2.277575699999943,0.9835955097879325,0.9751380162137967,0.9822278086586193,0.9712230899079276,0.9229606884799402,0.9272099172731643,0.8488199029159356,0.8535319032654735
phishing_full,wekaRF,0.33,0,2.3202362000000676,0.9755841428128819,0.9654383361793133,0.974086658171832,0.9601188033537699,0.9038881780817265,0.9081442000033157,0.8112152423230079,0.8173938378010016
phishing_full,wekaRF,0.5,0,2.374555899999905,0.9605025231589728,0.9289954243273263,0.9583474915227324,0.9100101351789764,0.8759621100104722,0.8693197831529037,0.7547190430938313,0.7347413649873163
phishing_full,wekaRF,0.66,0,2.8990647999999055,0.9428931432356084,0.8524113463419487,0.9423316517704716,0.816519546260887,0.8465226429303487,0.7926760224804787,0.6939241945752568,0.5808203291268864
phishing_full,wekaRF,0.75,0,3.824393999999984,0.9344857841955316,0.8057494321855467,0.9361633647014806,0.7511267394131331,0.8331689115736927,0.7569915781097167,0.6674926879599374,0.5122777999927297
phishing_full,wekaRF,0.9,0,2.583273599999984,0.9259449284240595,0.6940284155904441,0.9301500733928674,0.6096106629177106,0.8221986842123439,0.6682566852898755,0.6448113492976772,0.33377031631730636
phishing_full,wekaRF,1.0,0,3.0922087999999803,0.9276747432104062,0.6238581541471178,0.9293626269151951,0.5243595507073932,0.8228906042763061,0.6027134899451251,0.6458477667841609,0.20320731084840205
phishing_full,wekaRF,1.25,0,3.0757297999999764,0.9265343452341985,0.39905709643727516,0.9319465260464177,0.370233093625183,0.8218329596412556,0.41073998242676435,0.6437522461616147,-0.17563319140538014
phishing_full,khiops,0.0,0,5.90721080000003,0.9848264006116455,0.9853184734494935,0.9826119043250415,0.9838013303249414,0.9271482877676908,0.9376564598219467,0.8572290881730331,0.8777784381685158
phishing_full,khiopsRF,0.0,0,12.600935500000105,0.9880939020525732,0.9883183573998242,0.9863621254155379,0.9869746019976171,0.939808864922134,0.9424762512641125,0.8784936261058609,0.8845844084177243
phishing_full,khiops,0.05,0,4.688603800000237,0.9630988179714999,0.9853076974087767,0.9582743494534376,0.9834365890278165,0.9077915582040745,0.9322622225169515,0.817908986336437,0.8667787249868584
phishing_full,khiopsRF,0.05,0,11.171754199999668,0.9671721123438015,0.9878707372469703,0.9621617137052876,0.986457063742227,0.9214834952066844,0.9408416087799865,0.8436786028273009,0.8817749488188438
phishing_full,khiops,0.1,0,5.045647000000372,0.9343752284281791,0.983869510436181,0.9127025700079043,0.9821040527321924,0.8838258255636542,0.9327624794840763,0.7708446028593109,0.8685065400916707
phishing_full,khiopsRF,0.1,0,13.641192600000068,0.9381438833423263,0.9863794989969993,0.918669924364148,0.9848716074582785,0.8895512333894777,0.938300535486331,0.7796377221588825,0.8763275772701452
phishing_full,khiops,0.2,0,4.18452410000009,0.8990793892113104,0.9828325237487359,0.8757838379929137,0.9804713845457009,0.8492618406448964,0.931856048674547,0.7010379260053943,0.8658739471217449
phishing_full,khiopsRF,0.2,0,10.23387539999976,0.9047118805509088,0.984987731892107,0.8835179061488706,0.9833311815044902,0.8517135342015907,0.9369580894908736,0.7055556210898042,0.8751908273376816
phishing_full,khiops,0.25,0,4.794342400000005,0.8669180615677392,0.9796747293555927,0.8330462298118407,0.9761052731273143,0.8179671367939456,0.9173921152539001,0.6381521001711271,0.8373102926192308
phishing_full,khiopsRF,0.25,0,11.523197600000003,0.8729992701188944,0.9843747409605597,0.8454822287631332,0.9828282706850241,0.8250653336371068,0.9347490011439181,0.6508671376911735,0.8682334867651599
phishing_full,khiops,0.33,0,5.696190600000136,0.8397409596823087,0.9822812878197582,0.8051684430816037,0.9796655553257939,0.7972276633566957,0.9271800759296407,0.5967580605195378,0.8558737766727991
phishing_full,khiopsRF,0.33,0,10.881073099999867,0.8444217192017778,0.9829145874434257,0.8079194489625965,0.9817971673688687,0.8047334095721193,0.9371860441983455,0.6107170330231386,0.8736450044062204
phishing_full,khiops,0.5,0,3.7555247000000236,0.7715149008190026,0.9763946683466238,0.7169808694383533,0.9733628341068804,0.728295975459557,0.9073960940997032,0.4590190799460738,0.8186244646497034
phishing_full,khiopsRF,0.5,0,9.443958399999701,0.7773301143623503,0.9833916344766989,0.7228130127300928,0.9818454085027073,0.7364970139497204,0.9265558944942721,0.4749557923036033,0.8556933104023686
phishing_full,khiops,0.66,0,4.868939800000135,0.6981043390456156,0.9815103864453986,0.6454438798449971,0.9797009878634334,0.6643271377981153,0.9256196223412192,0.33048658025195643,0.8554217620179903
phishing_full,khiopsRF,0.66,0,11.110938100000112,0.6987255763458026,0.9791438021187353,0.6480905115710532,0.9777587225623778,0.6652704554073517,0.9246091612924617,0.33213231825728085,0.85276686422055
